stock_name,acc_test,acc_eval,expected_value,buy_percent,pred_sell,pred_hold,pred_buy
010130,고려아연 ,0.6057,0.4301,3.7951,0.0,0.8707,0.0946,0.0347
112040,위메이드 ,0.6429,0.4286,4.3597,0.125,0.0026,0.0028,0.9945
161390,한국타이어앤테크놀로지 ,0.5728,0.2094,2.7119,0.2,0.0013,0.0191,0.9797
006730,서부T&D ,0.6186,0.4337,3.2143,0.125,0.1073,0.0722,0.8205
064760,티씨케이 ,0.641,0.5169,4.955,0.04,0.1071,0.1963,0.6967
005940,NH투자증권 ,0.6129,0.5276,3.4934,0.0,0.7655,0.1295,0.105
035720,카카오 ,0.6252,0.3448,3.629,0.01,0.4323,0.4499,0.1178
016360,삼성증권 ,0.61,0.3636,2.9412,0.0,0.1876,0.5177,0.2947
018260,삼성에스디에스 ,0.5991,0.2568,2.7638,0.145,0.2033,0.1275,0.6692
108320,실리콘웍스 ,0.581,0.4444,3.8732,0.105,0.0556,0.752,0.1924
115450,지트리비앤티 ,0.5659,0.3717,4.908,0.11,0.0803,0.0175,0.9023
